symbol,baseMean,log2_FoldChange,lfcSE,stat,minus_log10_pvalue,minus_log10_padjvalue
ADAM19,824,0.297,0.2,1.2,0.63,0.32
ADAM8,1089,-0.251,0.2,-1.2,0.6,0.31
ADAR,5773,-0.071,0.2,-0.3,0.13,0.06
ADAT1,418,-0.14,0.2,-0.6,0.27,0.13
ADCK2,379,0.097,0.2,0.6,0.25,0.12
ADCY3,213,0.129,0.2,0.5,0.23,0.11
ADD1,3835,0.029,0.2,0.2,0.07,0.03
ADGRE5,5307,-0.232,0.2,-1.2,0.65,0.33
ADH5,2106,0.346,0.2,2.1,1.46,0.74
ADIPOR1,1858,-0.287,0.2,-1.4,0.81,0.42
ADK,673,0.459,0.2,2,1.31,0.66
ADNP2,530,0.269,0.2,1.5,0.86,0.44
ADPGK,1825,-0.345,0.2,-1.9,1.2,0.61
ADPRH,475,-0.298,0.2,-1.2,0.63,0.32
ADPRM,270,0.511,0.2,2.3,1.62,0.81
ADPRS,298,-0.116,0.2,-0.6,0.27,0.13
AEBP2,558,0.229,0.2,1.5,0.85,0.43
AFF1,1121,0.034,0.2,0.2,0.08,0.04
AFG2A,106,-0.172,0.2,-0.7,0.32,0.16
AFG2B,100,-0.244,0.2,-1.4,0.78,0.4
AFG3L2,735,-0.113,0.2,-0.6,0.25,0.12
AGA,544,0.371,0.2,1.6,0.96,0.49
AGBL5,137,-0.197,0.2,-1,0.52,0.26
AGFG1,1814,-0.102,0.2,-0.6,0.24,0.11
AGL,560,0.326,0.2,1.7,1.06,0.54
AGO4,1376,-0.443,0.2,-1.8,1.13,0.58
AGPAT3,1592,-0.262,0.2,-1.2,0.66,0.34
AGPAT5,701,0.392,0.2,1.8,1.18,0.6
AGPS,1247,0.154,0.2,0.9,0.43,0.22
AGTPBP1,1617,-0.348,0.2,-1.6,0.99,0.5
AHCTF1,926,-0.181,0.2,-0.8,0.36,0.18
AHCYL2,358,-0.357,0.2,-2.2,1.54,0.78
AHDC1,107,-0.375,0.2,-1.9,1.21,0.62
AHNAK,24340,-0.454,0.2,-2,1.39,0.7
AHSA1,1290,0.446,0.2,2.2,1.6,0.81
AIDA,2052,0.378,0.2,1.8,1.15,0.58
AIFM1,600,0.072,0.2,0.5,0.19,0.09
AIMP2,217,0.291,0.2,1.5,0.86,0.44
AK3,842,0.255,0.2,1.2,0.65,0.33
AK6,314,0.192,0.2,1,0.52,0.26
AKAP1,342,-0.159,0.2,-0.9,0.45,0.23
AKAP10,672,-0.164,0.2,-1,0.48,0.24
AKAP11,1323,0.245,0.2,1.1,0.58,0.3
AKAP13,3904,-0.256,0.2,-1.1,0.56,0.29
AKAP7,419,0.32,0.2,1.6,0.98,0.5
AKAP8,468,-0.486,0.2,-2.2,1.52,0.77
AKAP8L,680,-0.241,0.2,-1.2,0.63,0.32
AKIP1,187,0.144,0.2,0.7,0.3,0.15
AKIRIN2,1237,-0.297,0.2,-1.5,0.9,0.46
AKNA,3262,-0.068,0.2,-0.4,0.15,0.07
AKR1A1,1023,-0.106,0.2,-0.6,0.28,0.14
AKR1B1,1171,0.111,0.2,0.7,0.32,0.16
AKT1,1608,-0.194,0.2,-1.3,0.68,0.35
AKT1S1,237,-0.397,0.2,-1.9,1.24,0.63
AKT2,1338,0.009,0.2,0.1,0.02,0.01
AKTIP,1520,0.098,0.2,0.4,0.17,0.08
ALDH16A1,576,0.141,0.2,0.8,0.37,0.19
ALDH18A1,618,0.667,0.2,3.1,2.66,1.27
ALDH3A2,830,-0.135,0.2,-0.6,0.28,0.14
ALDH9A1,1603,0.299,0.2,1.7,1.04,0.53
ALDOA,11122,-0.189,0.2,-0.9,0.42,0.21
ALG1,270,0.428,0.2,2.2,1.53,0.77
ALG10,78,1.00E-03,0.2,0,0,0
ALG11,590,0.282,0.2,1.4,0.81,0.41
ALG2,499,0.243,0.2,1.2,0.65,0.33
ALG5,615,0.133,0.2,0.8,0.36,0.18
ALG6,293,0.166,0.2,1.1,0.57,0.29
ALG8,334,-0.045,0.2,-0.2,0.08,0.03
ALKBH1,164,0.394,0.2,2.2,1.52,0.77
ALKBH2,127,0.15,0.2,0.7,0.32,0.16
ALKBH3,291,0.132,0.2,0.6,0.26,0.12
ALKBH4,140,0.353,0.2,1.8,1.1,0.56
ALKBH7,585,0.154,0.2,0.9,0.43,0.22
ALKBH8,279,0.311,0.2,1.8,1.13,0.58
ALMS1,279,-0.193,0.2,-0.9,0.41,0.21
ALS2,202,-0.121,0.2,-0.5,0.22,0.11
ALYREF,677,0.08,0.2,0.5,0.2,0.09
AMACR,168,0.318,0.2,1.6,0.95,0.49
AMD1,2184,0.036,0.2,0.2,0.09,0.04
AMDHD2,137,-0.134,0.2,-0.6,0.27,0.13
AMER1,125,0.015,0.2,0.1,0.03,0.01
AMFR,1743,0.106,0.2,0.6,0.26,0.13
AMN1.AS1,54,-0.014,0.2,-0.1,0.02,0.01
AMPD3,455,-0.265,0.2,-1.3,0.74,0.38
AMZ2,898,0.349,0.2,2.2,1.54,0.78
AMZ2P1.1,153,-0.737,0.2,-3.5,3.36,1.58
ANAPC1,685,0.149,0.2,0.6,0.27,0.13
ANAPC11,591,0.149,0.2,1,0.49,0.25
ANAPC13,924,0.097,0.2,0.5,0.23,0.11
ANAPC15,603,0.091,0.2,0.5,0.21,0.1
ANAPC4,441,-0.243,0.2,-1.2,0.67,0.34
ANGEL1,537,0.009,0.2,0.1,0.02,0.01
ANGEL2,744,-0.27,0.2,-1.5,0.83,0.43
ANKFY1,893,-0.526,0.2,-2.4,1.78,0.89
ANKHD1.EIF4EBP3,316,0.019,0.2,0.1,0.03,0.01
ANKLE2,1046,-0.399,0.2,-1.9,1.23,0.62
ANKRA2,311,-0.013,0.2,-0.1,0.02,0.01
ANKRD12,894,-0.316,0.2,-1.4,0.82,0.42
ANKRD13A,1992,-0.087,0.2,-0.4,0.17,0.08
ANKRD13C,494,0.163,0.2,1,0.48,0.24
ANKRD17,961,0.198,0.2,1.3,0.72,0.37
