Gene,baseMean,log2_FoldChange,pvalue
PGM1,10.3,-0.02,0.421162141
TMEM39A,9.35,-0.01,0.422033358
RAI1,12.3,0.01,0.423433317
PRICKLE1,7.39,-0.03,0.419812729
MAP3K20,10.6,0.02,0.423381759
WEE1,10.9,0.01,0.423535049
PRKAB2,9.75,0.01,0.423640865
DEPP1,7.49,0.02,0.424205025
C20orf194,10.73,-0.01,0.421754824
MMP24,6.15,0.03,0.425524088
RIPK1,10.62,0.01,0.423558153
NOTCH1,12.59,0.01,0.423416138
SSBP3,11.99,0,0.42297144
NAPRT,10.45,-0.02,0.421183103
TLR6,7.79,-0.05,0.41948208
RNU6-36P,3.97,0.08,0.437272009
USP4,11.23,-0.01,0.422478925
LY6K,5.65,0.05,0.427243117
TPK1,6.85,-0.02,0.420996502
MTMR9,9.9,-0.03,0.4212988
ZNF691,7.53,-0.01,0.421376148
AC012184.3,6.13,0.06,0.427914339
PADI1,6.29,0.05,0.427407396
STRN,11.46,0.01,0.423490823
VAMP3,11.35,0,0.422989067
AC009005.1,6.01,0.02,0.425242168
CAPN2,14.2,-0.01,0.42251452
PXDC1,9.03,0.03,0.424590402
PCDH1,12.27,-0.01,0.421867443
ZFAS1,9.83,-0.01,0.422064347
DEPDC1B,7.28,-0.03,0.420372245
PWWP2B,10.27,-0.02,0.4215307
ITGA1,5.77,0.06,0.428945975
TMPRSS7,5.82,-0.03,0.419842196
ARVCF,9.58,0.02,0.423457118
MIEF2,9.32,-0.02,0.421827464
AC078785.1,3.85,0.29,0.491882819
TECPR2,10.64,0.02,0.423376539
AL078601.2,4.44,0.03,0.426857289
PCDHGA8,4.06,0.29,0.482771425
SPTBN1,15.21,0,0.422649875
AC083843.4,#NUM!,#NUM!,#NUM!
HLA-G,4.68,-0.09,0.412769844
ABTB1,8.3,0.02,0.424524869
SCGB2B2,4.39,-0.04,0.418360004
L3MBTL2,10.79,0.02,0.423366521
ZNF674,7.27,0.03,0.424524906
NME5,11.69,-0.02,0.421665517
PISD,9.18,0.02,0.424339608
CCDC124,10.61,0.01,0.423559359
GABARAPL2,11.16,0,0.422995271
ZNF192P1,3.77,-0.17,0.397894701
CLIC4,11.99,-0.01,0.421848968
SNORA74D,2.99,0,0.422689854
AC098934.1,6.51,0.02,0.424441603
FREM2,11.32,0.01,0.423503677
ZMYM5,8.53,-0.01,0.421978293
KMT5B,11.72,-0.02,0.421995458
RNU5E-1,4.68,-0.16,0.404200229
CDK5,8.78,-0.02,0.42178198
SASS6,9.15,0.02,0.423496772
IFI16,12.36,0.02,0.423275272
C5orf51,10.86,-0.02,0.421238772
PCDHB14,7.49,-0.04,0.419096638
BAZ1A,12.09,0,0.422968336
CACNG4,6.22,0.04,0.427102948
AC010680.2,3.86,-0.12,0.405777537
ZNF718,8.6,-0.01,0.421980594
MCRIP2,8.88,0.03,0.424184558
SORBS1,6.5,-0.04,0.419744855
OCIAD2,10.31,0.01,0.423213701
TUBA1B,14.36,0.01,0.42278417
SV2B,5.92,-0.02,0.420128748
DST,13.65,-0.01,0.421945792
EMC1,11.16,0,0.422994848
FAHD2CP,5.86,-0.04,0.419469292
PTP4A2,12.84,0.01,0.422799937
FEM1C,10.29,0.01,0.422837791
CCDC34,11.04,0.01,0.422825258
ICE2,10.85,-0.01,0.421764426
ATF3,10.52,0,0.423016097
C15orf39,10.87,0.01,0.423537369
DENND1C,6.99,-0.05,0.418604244
KPNA6,12.68,0,0.422346355
RBM4,7.41,-0.02,0.421617032
DHX57,11.35,0.02,0.423330285
TRIM25,11.93,-0.01,0.422489072
DDX3X,13.84,0,0.422372038
COPS3,10.45,0.01,0.423204832
FBXL20,11.14,0,0.422649731
RAB24,6.47,0.08,0.429509285
ITGB7,6.25,0.03,0.426116983
CUL1,11.51,0,0.422984432
AL139353.1,4.74,0.03,0.42557964
TMEM127,11.9,0.01,0.4234597
BICD1,8.76,-0.01,0.421997724
DHFR,11.1,-0.01,0.422130683
ORAI3,8.56,0.02,0.423565545
CCT6A,12.92,-0.01,0.421906425
FZR1,10.54,0,0.423016113
FRG1CP,8.32,0.02,0.424522687
CYP4X1,11.79,0.01,0.42281456
AC090579.1,5.28,0.04,0.426398817
SH3TC1,8.61,0.02,0.42445165
BRF2,8.32,-0.01,0.421961085
MRPL18,11.01,0.01,0.423175686
POLRMTP1,3.44,-0.07,0.415486172
PSMC1P1,6.01,0.03,0.426243621
ZNF137P,6.13,-0.07,0.41689675
AGL,11.67,0.01,0.423475635
APTX,10.3,-0.01,0.422464532
ARL14EP,9.72,0.02,0.423444947
TTPA,4.42,0.16,0.447559797
SOBP,9.79,-0.02,0.42187569
AC009652.1,4.54,-0.19,0.399596293
CTSK,4.66,0.06,0.429649229
AC138028.2,4.22,0.17,0.450450491
ABI1,12.25,0.01,0.423436622
CTDSP1,10.9,0.02,0.423358964
MZF1,9.64,-0.04,0.419879461
CCDC170,14.25,-0.01,0.422515012
PSMC3IP,8.71,0.01,0.422872925
AC016394.1,4.49,-0.1,0.411166231
KIF9,11.48,-0.01,0.422148162
LINC02562,8.11,0.01,0.423364353
C1orf100,4.42,-0.02,0.420954926
BMP4,5.92,0.02,0.425295583
IRAK4,9.25,0.01,0.423276832
PITPNB,11.24,0.01,0.4228214
CHFR,9.94,0.02,0.423428286
CUTALP,9.48,-0.02,0.421437565
OXER1,5.13,0.08,0.432232742
ADA,6.72,-0.01,0.42124255
FLT1,4.51,0.3,0.507115529
EIF2AK4,11.29,-0.01,0.422479714
AC108449.2,7.16,0.02,0.423732825
PTPRE,8.95,-0.01,0.422436697
TMEM167A,11.22,-0.02,0.421625012
AL031055.1,3.94,0.12,0.443795823
FAM114A2,9.3,-0.02,0.421414301
AGPAT1,10.62,0,0.422288134
MOB3A,10.02,-0.01,0.422458229
CFAP157,11.8,-0.01,0.422487946
YIF1B,9.43,0.02,0.423887811
USP22,13.57,-0.01,0.421941707
C1orf158,10.95,0,0.422298701
MFSD2A,9.12,0.01,0.423713264
TRMT2A,9.86,0.02,0.424222633
NPAT,10.42,-0.02,0.421178705
GGT1,4.47,-0.11,0.410063587
ERCC3,10.89,0.01,0.423535023
SOWAHA,6.05,-0.03,0.419193868
DCAF16,11.01,-0.01,0.422127283
GAB2,9.1,-0.01,0.421597313
ZNF460,11.32,-0.01,0.422140914
CEBPZ,10.83,0.01,0.423539872
TMEM125,9.93,-0.01,0.422457395
LINC00449,5.31,-0.06,0.416318758
CNNM1,4.74,-0.06,0.416452378
ATG10,8.85,0.02,0.423965057
SEC14L1P1,2.65,-0.02,0.435391842
LAMB3,13.17,-0.02,0.422067076
SLC47A1,5.51,0.05,0.427429261
TLE4,11.01,0.02,0.423352258
FDXR,11.02,0.02,0.423351618
C14orf37,8.47,-0.01,0.421974109
HEXA,9.66,0.02,0.423851206
AC080080.1,3.86,-0.05,0.414636015
SCN9A,7.78,-0.02,0.420700248
BET1L,10.1,0.01,0.423606982
CCDC57,10.39,-0.01,0.422466671
ERCC-00071,8.17,0.03,0.425287026
CAVIN2,9.57,0,0.422248802
RNF216,10.64,0,0.423011959
YIPF2,10.76,0.01,0.423545939
HSPA8,15.79,0.01,0.423015736
CXCR4,5.49,0,0.42336204
ROCK2,11.87,-0.02,0.421680236
IRX4,6.43,-0.05,0.418237652
SLC51B,7.74,-0.02,0.420678568
RELT,6.38,-0.02,0.420270694
TNFAIP1,10.63,-0.02,0.421570205
N4BP2L2-IT2,2.67,-0.18,0.388442685
TOPBP1,10.58,0,0.422650661
AL354977.2,3.67,-0.04,0.41555654
AC079848.1,4.98,-0.02,0.42038925
ABLIM1,13.02,0.01,0.422798143
WRAP73,8.69,0.02,0.423539532
AC105339.2,2.56,0.09,0.487799018
STARD4,10.17,0.02,0.423791224
LINC01138,5.75,0.03,0.425043968
ACSL3,12.94,-0.02,0.421760154
COLQ,5.78,-0.03,0.420362526
Z92544.2,8.64,-0.02,0.421327268
IGFBP3,13.26,0,0.422940888
TNK2,10,0.01,0.423228566
LOXL1,9.06,-0.03,0.421177228
COX7B,11.13,0.01,0.423516145
PSENEN,11.94,-0.01,0.42216682
PGRMC1,12.25,0.01,0.422807812
ZNF702P,7.37,0.03,0.425036865
ARFIP1,11.12,-0.01,0.42247748
TMEM164,10.89,-0.01,0.422474108
C8orf37-AS1,5.76,-0.02,0.420767373
TRIM11,9.64,-0.01,0.422454169
XRCC1,10.92,0.02,0.423357819
CCDC59,9.54,-0.01,0.421644524
UBE2D2,11.36,-0.01,0.422481045
LIMK1,9.61,0.01,0.423654949
KIAA2013,10.66,-0.02,0.421572211
AC093627.4,8.28,0.01,0.423348334
SETMAR,8.42,-0.02,0.420832473
SLC25A30,9.2,-0.02,0.421402456
TCERG1L,4.79,-0.03,0.419274459
MTF2,9.78,0.01,0.422848758
WDR75,10,-0.01,0.422074293
EP400P1,7.55,-0.03,0.420881981
RHOT2,10.6,0.01,0.422832028
HPS1,9.91,-0.02,0.421104498
BNC2,5.58,0.04,0.426252885
METTL4,8.39,0.02,0.424037015
LRRC10B,12.56,0.01,0.423418653
DCAF8,10.25,-0.01,0.422462654
SHROOM4,9.16,-0.02,0.421814069
FANCM,8.9,-0.03,0.420287428
BLOC1S3,8.33,0,0.422189017
PSRC1,7.56,-0.04,0.419638934
ELAVL2,4.28,0.04,0.42826832
RPL7AP28,6.42,-0.06,0.417386939
DESI1,9.23,0.01,0.423696917
PAX9,11.71,0,0.422649758
TTC21A,11.79,0.01,0.42314082
C12orf66,8.69,0.01,0.423319433
P2RX7,5.23,0.05,0.429189059
AC130371.2,5.45,0.02,0.425516573
DGKG,3.75,0.13,0.447815152
CENPH,8.73,0.03,0.424657383
AC025171.2,8.98,0.03,0.424600209
SNORA71D,5.61,0.02,0.424735358
SUMF1,10.18,-0.01,0.422462115
ISM1,5.99,-0.05,0.41731427
BEST4,7.35,-0.04,0.419032373
NLN,9.34,0.01,0.42326993
PMEPA1,9.13,-0.04,0.420565332
BPHL,9.75,0.01,0.422847794
TMEM171,5.99,-0.02,0.420314625
MET,12.53,-0.01,0.422496547
PTS,9.46,0.02,0.423880645
RPL13AP5,9.43,0.02,0.423882204
FAM122B,10,-0.02,0.421883037
GIGYF1,10.63,-0.02,0.421928239
NELL2,5.67,0.06,0.429828568
B3GAT3,9.07,-0.02,0.421805473
NUP85,9.84,-0.01,0.421674029
SUGCT,4.98,0.06,0.430807984
LINC00963,11.66,0,0.422980012
AC000123.3,7.98,0.02,0.424106414
PGLS,10.54,-0.01,0.421738467
ADGRV1,10,0.01,0.423229936
SGTA,10.75,0.01,0.423547106
POGZ,11.52,-0.01,0.422483183
BX088645.1,6.49,0.01,0.424140885
FGD6,10.82,-0.03,0.421057618
AL390719.1,4.44,-0.04,0.419074932
RSPH10B2,9.81,0.01,0.423635787
GIPR,9.24,0.01,0.423277514
AP002884.1,6.59,-0.03,0.420086758
KRTAP5-AS1,6.37,-0.03,0.419411609
AC004918.3,4.75,0.03,0.425543023
ZNRD1ASP,7.64,0.02,0.424676667
PSMC4,11.43,0.01,0.423155542
PHLDA2,8.98,0.02,0.423514652
CCDC102B,6.11,0.04,0.426558899
AC074044.1,3.1,-0.07,0.409969519
AC012442.1,4.32,-0.16,0.403603648
MCFD2,10.8,0.01,0.422828671
PDPR,10.47,-0.01,0.421733701
AL160269.1,4.48,0.13,0.443218271
BAHD1,10.45,0.01,0.4232041
SMAD4,11.81,-0.02,0.421675842
FAM133B,8.87,0.01,0.423740557
DEGS2,11.05,0.01,0.423522212
PPOX,11.4,-0.01,0.422481634
SLC6A8,10.43,-0.02,0.421915955
AC016065.1,7.07,-0.02,0.421570191
NT5E,9.31,-0.01,0.422444946
AC138150.1,4.99,0.03,0.427063886
ELOC,10.4,-0.01,0.422095689
DNAJA2,11.98,-0.01,0.422168984
PNPO,10.04,-0.01,0.422076009
MFSD14C,10.28,0.01,0.422837727
RRS1-AS1,4.63,0.09,0.43596667
UGT2B7,5.28,0.01,0.423022031
DCAF13,10.17,0.02,0.423794631
PAPSS2,10.75,-0.01,0.422114411
PHACTR4,12.08,0,0.42264996
LARP4,12.11,-0.03,0.421542133
NR1D2,11.47,-0.02,0.421314312
SLC35F2,8.91,0.01,0.423732117
UBXN6,11.46,0.01,0.423155437
THSD4,9.24,0.01,0.423275584
RPL13P12,8.08,-0.02,0.421240009
FGD3,6.51,-0.02,0.420302602
OGFR-AS1,4.05,-0.01,0.423518866
TRIM41,11.12,-0.02,0.421960212
ITGB4,14.06,0.01,0.423061458
TSPYL2,8.2,0.02,0.424553167
SPINT1-AS1,9.06,-0.03,0.421174247
ERCC-00143,4.29,0.08,0.433422463
SETD7,11.81,-0.02,0.422000399
PPP1R2B,4.95,0.04,0.426682386
TCHP,10.45,0,0.422649867
BOD1L1,12.47,0.01,0.423113377
ZNF517,7.36,-0.04,0.419061105
NPHP1,12.1,-0.01,0.422491018
PUM1,12.78,0,0.42295103
PODNL1,6.22,-0.03,0.419338061
STAC3,4.65,0,0.42351534
AL445231.1,4.26,0.09,0.436389678
MEGF8,12.27,0.02,0.423279197
C12orf54,6.16,-0.05,0.417433725
NOL12,4.21,-0.03,0.418761352
PHF20L1,11.27,-0.02,0.42162889
PBXIP1,11.77,0.01,0.42281384
BCL2L10,4.41,0.04,0.42909541
INTS6L,8.35,0.02,0.424045369
UNC93B1,12.45,0.01,0.423424558
LAS1L,10.86,0.02,0.423365078
RNF149,10.16,-0.01,0.422082628
AC005224.4,3.88,0.18,0.457568559
LRRC37A6P,6.82,-0.02,0.420419423
KLF4,10.4,0.02,0.423394455
UBTF,12.25,0,0.422964497
AC009120.2,4.29,0.1,0.438443869
SLC9A3,5.69,-0.04,0.418670993
RP1,12.43,-0.01,0.422186117
GEMIN6,9.54,0.01,0.422852375
FAM160B2,10.44,0.01,0.423573892
MYO7A,3.73,0.03,0.43148474
BFAR,10.04,0.01,0.423225904
PLXNA2,11,0.01,0.423526344
FSIP1,8.33,0.02,0.423579724
MBD1,11.02,0.01,0.423175333
SPAG9,12.27,0.01,0.423121757
AC008894.3,3.39,-0.07,0.411159882
HSD17B2,5.38,0.02,0.424101986
SCAMP4,11.94,-0.01,0.421845876
UBP1,11.27,0,0.422650111
CRYM-AS1,3.83,-0.32,0.380729128
AL118505.1,4.45,-0.08,0.412712446
UPRT,9.43,0.01,0.423676137
POLR3F,9.21,-0.04,0.419752733
RCCD1,8.61,-0.01,0.421534613
TMEM205,9.93,-0.03,0.420915514
C5AR2,4.02,-0.04,0.41684976
NRF1,9.98,-0.01,0.421687758
EPS15,11.54,-0.01,0.421818086
PSMG3-AS1,9.88,-0.01,0.421678007
CNTD2,5.61,-0.06,0.415993243
RNF167,11.23,0.01,0.422821762
AF117829.1,6.3,-0.02,0.421469096
AC095031.1,3.61,-0.13,0.404579217
MACF1,14.24,0,0.422379537
OTUD7B,12.4,0,0.422961099
USP43,9.73,-0.01,0.421664088
UBXN2A,10.1,-0.01,0.421699232
CTNNB1,14.06,0,0.422649806
APOL4,7.9,0.02,0.424125151
PRR3,7.71,-0.01,0.421405305
GNPTG,9.67,-0.03,0.420869309
DNAJC3,12.55,-0.01,0.422190519
DHX9,13.01,-0.01,0.422502027
PTMAP5,7.12,0.02,0.424284407
AC012409.1,4.41,-0.04,0.417636895
PPM1B,10.86,0.01,0.422827805
SLC9A9,7.86,0.01,0.42388004
ST14,13.16,0.02,0.423237066
INPP5E,10.14,-0.02,0.42151799
PTOV1,11.28,-0.01,0.421799366
HHLA3,7.84,-0.02,0.42118616
INO80E,9.79,0.01,0.423635911
AL161891.1,5.16,-0.07,0.415751591
LINC01128,8.23,-0.02,0.421261786
SMARCA4,13.43,-0.02,0.422078583
AC093901.1,4.51,0,0.425871373
C1orf56,7.73,-0.02,0.421174503
AMMECR1,10.36,-0.03,0.420617932
KAT14,9.16,-0.02,0.421816491
CDRT4,1.56,0.16,0.694540464
SCOC-AS1,5.64,0.05,0.427255268
AP006222.1,4.06,-0.15,0.401981943
SMILR,5.24,0.03,0.426040799
MMGT1,10.44,0,0.422650277
C2CD4A,5.64,0.08,0.430766686
STMN3,8.67,0.02,0.423541543
SLIT1,7.55,-0.05,0.419380277
AC009318.2,5.36,-0.06,0.415633143
NPC1,10.4,0.01,0.423576889
NRSN2,9.56,-0.01,0.42245155
MAF,9.01,0.02,0.42394415
SCN5A,4.5,-0.03,0.419573715
UBE2M,11.25,0.01,0.423507035
VTI1A,10.07,0,0.423033683
ZNF461,8.01,-0.01,0.421933071
SLFN11,10.93,0.01,0.423179094
AKR7A2,11.26,-0.02,0.421969209
EIF1AX,11.16,0.02,0.423346544
ACBD3,11.6,0,0.422318182
BBS4,10.72,-0.01,0.422112705
SPOCK2,5.79,0.02,0.424673381
SLC35E2,10.7,-0.02,0.421933764
NXF3,4.14,-0.02,0.419039144
RAD23A,11.66,0.01,0.423146283
MVB12A,9.57,-0.02,0.42105261
CACNB4,7.35,-0.04,0.420068214
CRTAC1,4.8,0.01,0.423886471
TNFRSF13C,5.6,-0.05,0.416936756
TTTY14,6.88,-0.02,0.420456811
GATAD2B,11.49,-0.01,0.422483225
GADD45A,9.99,-0.01,0.422459654
RAB11B,12.13,-0.01,0.422174915
MED27,8.57,0.01,0.423326
AC084018.2,4.07,0.06,0.433105233
U2SURP,12.01,-0.02,0.421372561
STXBP3,10.58,-0.03,0.421383517
ZC2HC1A,10.88,-0.04,0.420893608
UBA2,11.42,0.01,0.422819119
ZNF140,9.12,-0.02,0.421812868
SQLE,12.72,0.01,0.423407757
AL049697.1,5,0.04,0.426681559
IPO7,13.02,-0.01,0.422502384
UGCG,12.15,-0.01,0.421859515
TEX261,10.5,-0.01,0.422100956
MTURN,11.04,-0.02,0.421954968
SERTAD3,9.58,0.01,0.422851566
ING1,10.48,-0.01,0.421733226
PPP2R2D,9.7,-0.02,0.4218595
EIF3EP1,5.37,0.03,0.425216719
AC139795.2,5.03,-0.02,0.421228195
SPNS3,4.97,0.06,0.429242393
CSNK1G3,11.27,-0.02,0.42162889
USP35,7.57,0.03,0.424451213
DUS1L,11.07,0.01,0.423173106
MBD6,11.07,0.02,0.423347559
CROT,10.56,0.01,0.423199844
S1PR3,6.11,-0.02,0.420809154
BCKDHB,9.41,-0.01,0.4216315
MYOM2,6.51,0.04,0.426324737
CPT1A,12.12,-0.01,0.421857342
HNMT,8.92,0.01,0.422869522
ZNF410,3.14,-0.56,0.347577581
DDX50,10.52,-0.03,0.421375663
CYP27C1,7.13,-0.03,0.420240183
LINC01578,10.37,-0.01,0.421726752
STAT1,12.51,-0.01,0.422189076
AC108062.1,5.54,0.04,0.42624931
PTPA,12.47,0.01,0.422804572
CCT8P1,5.38,0.05,0.428222343
MT-TT,6.63,-0.14,0.411520903
SYTL5,9.6,0.01,0.423254237
RNF19B,11.11,-0.01,0.42213126
UBE2H,13.25,-0.01,0.421924799
AC079414.3,6.56,0.02,0.42444332
VPS28,10.85,0.01,0.423538228
CDK20,10.03,-0.03,0.421317186
AL356124.1,5.05,-0.09,0.413581444
ZFAND2A,7.51,-0.02,0.421632935
AL021453.1,4.47,0.05,0.43047416
ERMARD,8.93,-0.01,0.421580018
DERA,9.76,0.02,0.423442803
AP002852.1,5.28,0.01,0.423788406
FOXO6,6.51,-0.09,0.415468154
FAM199X,11.12,0.01,0.423171052
AC019163.1,3.64,-0.07,0.413214654
CPNE8,9.22,-0.03,0.421197019
PLA1A,5,0.02,0.424236279
ARL2BP,10.73,0.01,0.423189751
WWC2,9.39,0.01,0.423266919
MAPK3,11.01,0.01,0.423175405
CA12,8.86,0.02,0.424400725
CIB1,13.03,0,0.422945911
CCDC114,12.15,-0.01,0.421860867
PHAX,11.08,0.01,0.423520469
COG8,8.78,0.02,0.423535146
HGH1,8.49,0.01,0.423331827
C19orf12,9.07,0.02,0.42350604
TMEM213,7.33,-0.02,0.420604846
TRIM72,4.23,-0.05,0.415419005
MATN1-AS1,4.18,0.03,0.426056344
ALKBH5,12.71,0.01,0.423408331
CYSTM1,11.31,0,0.422990356
ABCC6P2,6.66,-0.03,0.420655315
TOMM34,11.13,0.01,0.423516516
ABCA7,11.12,0.01,0.423517708
ERCC-00062,8.63,-0.02,0.421319949
QRICH1,11.56,0,0.42298318
CYCS,12.09,0.01,0.422810688
FMNL3,7.28,-0.03,0.420299897
PLAGL2,11.1,0.01,0.422823571
HIST1H2BC,11.87,0.01,0.423462347
RORB,6.12,0.03,0.425546795
AL035563.1,3.54,0,0.426508777
NR2C2AP,8.26,-0.02,0.421726717
GFER,10.09,-0.02,0.421510307
DPF1,4.77,-0.02,0.419868088
IFRD2,9.6,0.01,0.423654743
MNAT1,10.42,-0.01,0.422096449
TNFRSF21,13.91,-0.01,0.422511708
CHADL,6.49,0.01,0.423551757
AP002495.1,6.43,0.01,0.422950959
SSB,12.88,0,0.422948826
PAOX,8.06,0.03,0.424351799
TMEM184C,10.88,0,0.423003704
STAT6,12.81,0.01,0.423402118
AC023575.1,#NUM!,#NUM!,#NUM!
WFDC2,14.55,-0.01,0.422253456
H19,9,-0.05,0.419055793
NUP54,10.26,-0.01,0.421714466
AC022968.1,5.24,0.01,0.423760658
PDSS2,9.88,0.01,0.423238038
AL132801.1,6.27,-0.08,0.415474698
AREL1,11.33,0,0.42231023
SLC25A43,9.48,-0.01,0.422451396
PUF60,11.53,0.01,0.423152326
AGBL5,11.25,-0.01,0.422139951
ZNF786,8.74,0.02,0.423541654
C19orf47,8.87,0,0.423085367
STON2,11.76,0.01,0.423469856
TNNT1,6.83,0.02,0.423789279
DSCAML1,6.99,0.01,0.423482054
MTDH,12.39,0,0.422339354
BRWD3,11.49,-0.01,0.421814339
NPEPPS,12.21,0,0.422334733
B4GALT6,8.03,-0.02,0.420748702
TM2D1,9.42,-0.02,0.421836357
E2F6,8.67,0.01,0.423762457
CPNE2,10.91,-0.01,0.422122369
AC083973.1,3.66,-0.1,0.408816466
ZNF333,7.74,0.02,0.424651328
CPTP,9.6,0.01,0.422850777
ORAOV1,8.53,-0.02,0.420856537
RSF1,12.5,-0.01,0.42188113
UBE2C,8.76,0.01,0.422872624
PPARG,6.63,-0.03,0.420061204
AL359397.2,7.52,0.02,0.42368102
AC098820.1,4.86,-0.04,0.418771516
TIMM10B,10.58,0.01,0.422832609
AUP1,10.42,0.01,0.423205597
KIF18A,8.45,0.01,0.423797126
ACBD5,10.92,-0.02,0.421947331
CRLF1,8.09,-0.03,0.420534944
IRF9,4.01,0.11,0.44180174
CCDC17,13.37,-0.01,0.421931395
Z83851.2,4.76,0.02,0.425976309
SEC24D,10.89,0,0.422651522
RFESD,5.56,0.03,0.426586322
AC009533.1,5.31,0.04,0.427196822
PRR5,7.09,0.02,0.424841668
GABPB1-IT1,8.59,-0.03,0.421094836
TSPAN6,12.44,-0.01,0.422186206
SDHAF3,8.35,-0.02,0.421734331
STAU2-AS1,5.82,-0.04,0.419514535
BIVM,8.75,0.01,0.423758621
ZNF549,8.77,-0.02,0.42177689
ACOX1,12.02,0,0.422970219
TAPBP,13.58,0.01,0.422792039
ZC3H7A,10.67,-0.01,0.422470121
FMC1,3.78,0.02,0.425933276
RPL27,13.14,0.01,0.423090163
C2orf81,9.08,0.01,0.423287507
CHD3,13.89,0.01,0.423065898
DUOX2,10.58,-0.02,0.421571819
PSG4,5.81,-0.03,0.42041159
ATP10D,10.08,0.01,0.423606915
WDR81,10.37,0.01,0.423579398
DAG1,12.74,-0.01,0.421895565
SMTN,8.12,0.02,0.423604286
ADAMTSL4,3.64,-0.34,0.376536492
ATM,11.53,-0.02,0.421984528
RAP1B,11.56,0.01,0.423483621
DRC3,12.24,0,0.42264983
LRFN3,8.95,0.02,0.424381982
C2orf66,1.37,-0.15,0.471162299
TSC2,11.7,-0.02,0.421995485
INCA1,4.44,-0.03,0.41798953
MFAP3,9.94,0.02,0.423819087
RPS2P5,11.99,0.01,0.422810584
ZNF597,8.07,-0.03,0.420994312
RN7SKP203,6.27,0.06,0.429081795
NME4,8.99,0.01,0.422864879
PELI2,9.9,-0.03,0.4212988
FGFR4,4.71,-0.03,0.41822131
CORO7,8.02,0.02,0.423623483
KLRG1,4.35,0.06,0.432470292
SLC5A9,4.26,-0.07,0.413487087
PPA2,10.96,0.01,0.423529614
EMD,10.22,-0.01,0.422463804
C1D,9.48,0.01,0.422856901
AZIN1-AS1,7.9,0.02,0.42412209
HERC6,10.12,-0.01,0.422460367
AC093297.2,8.36,0.02,0.424044883
AL080317.3,5.52,-0.07,0.41486355
AGRN,13.64,0.01,0.423356511
UFC1,13.31,0,0.422360769
AC090181.2,1.55,0.54,0.948058751
ADNP2,10.42,0.01,0.423204922
ZNF121,11.41,0.01,0.423156487
AASDH,9.27,-0.03,0.421207053
GTPBP6,10.39,0.01,0.423206785
AL109955.1,3.94,-0.14,0.404844797
DCP1B,9.1,0.01,0.423713402
RNF183,7.43,-0.02,0.420594854
DCTN3,10.72,0.01,0.42355036
RNU6-2,7.66,0.02,0.424682694
RIMKLB,10.51,0,0.423016446
RPS6KA3,12.02,0.01,0.4234516
FGF2,5.11,0.01,0.423793716
INTS11,10.74,-0.02,0.421578954
RWDD2B,9.01,0,0.422650051
METTL21EP,3.12,-0.07,0.410386794
CEP68,10.31,-0.01,0.421718616
LCAT,4.33,0.03,0.428351853
C6orf163,5.92,-0.03,0.420408743
OXSM,7.99,0,0.422170047
GPR153,8.99,0.02,0.423950083
STX7,11.15,-0.02,0.421618031
DSTYK,11.2,0,0.42264976
C6orf47,9.95,0.01,0.422845205
AL135818.1,3.36,-0.27,0.383831267
AC115284.2,4.51,0.02,0.4261489
THBS1,9.34,-0.02,0.421844646
AC127496.7,5.52,0,0.423372392
HSPA13,9.22,0.02,0.423488258
RINT1,9.65,-0.02,0.421855733
AC234775.3,4.38,-0.08,0.413357723
ARHGEF10,3.71,-0.09,0.411636833
LINC01852,5.94,0.02,0.425292389
PNPLA6,10.89,0.01,0.422827059
ABCC6,9.67,0.01,0.423652015
APOPT1,8.03,0.02,0.424099555
RBM45,8.28,-0.02,0.421261927
AL031673.1,4.53,-0.24,0.395066873
USP15,10.35,-0.02,0.421909808
RUSC1,9.55,-0.01,0.422047202
USP27X,7.08,0,0.423200349
RPF2,9.79,-0.03,0.4212821
GFPT2,4.94,0.01,0.424784023
STK39,11.46,0,0.422649985
RPS4XP22,3.89,0.04,0.434107015
AC092614.1,4.66,0.05,0.430076437
AC009495.1,4.12,-0.12,0.405972206
XRCC4,8.25,-0.01,0.422417181
FNBP1L,11.78,-0.01,0.422160586
AC069307.1,4.64,0,0.423550559
IFNAR2,9.6,-0.01,0.42205111
SLIT3,5.33,0.05,0.428526147
AC133552.2,4.35,0.04,0.428244077
AC036214.2,6.15,0.03,0.424904077
RAB13,11.26,-0.01,0.422138043
ARG2,6.55,-0.01,0.421188737
ACOT11,8.06,0.02,0.423614203
AC211486.1,6.28,-0.03,0.419372941
CPQ,7.49,0.02,0.424203958
DLC1,5.52,-0.05,0.417535564
MON1A,8.1,0.02,0.423616034
RFK,9.45,-0.04,0.420227263
TCEAL8,10.29,-0.02,0.421532561
UCP3,5.9,-0.02,0.421491115
AADAT,7.64,0.02,0.42366557
CWC22,10.18,-0.01,0.4220844
FBXO36,11.25,0,0.42230802
GNG7,5.58,0.02,0.424066532
MSANTD2,6.51,0.02,0.425066442
ATP5PBP5,7.63,0.01,0.423928666
DCLRE1A,9.67,0.02,0.423452622
ECHDC2,9.47,0.01,0.422854173
PLCD1,9,-0.02,0.420954967
WDR54,11.89,-0.01,0.422166284
MACC1,12.47,-0.02,0.421727011
C1orf216,7.06,-0.01,0.421309771
CPSF4,8.72,-0.02,0.421773817
LBX2-AS1,7.05,0.02,0.423747973
ILK,10.67,0,0.423011502
CYB561,12.7,-0.01,0.421893462
POLR2J,9.78,-0.01,0.422060792
